CNES,NOME_ESTABELECIMENTO,TIPO_ESTABELECIMENTO,BAIRRO,ANO,MES,PA_PROC_ID,NO_PROCEDIMENTO,QTD_APROVADA,VALOR_APROVADO,QTD_PRODUZIDA,VALOR_PRODUZIDO
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0303080108,FOTOTERAPIA (POR SESSÃO),262.0,1048.0,262.0,1048.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0205020062,ULTRASSONOGRAFIA DE ARTICULACAO,121.0,2928.2,121.0,2928.2
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,41.0,1555.9499999999998,41.0,1555.9499999999998
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0205020186,ULTRASSONOGRAFIA TRANSVAGINAL,38.0,919.6,38.0,919.6
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204010080,RADIOGRAFIA DE CRANIO (PA + LATERAL),7.0,52.64,7.0,52.64
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204030153,RADIOGRAFIA DE TORAX (PA E PERFIL),134.0,1273.0,134.0,1273.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204010128,RADIOGRAFIA DE OSSOS DA FACE (MN + LATERAL + HIRTZ),2.0,16.76,2.0,16.76
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060052,PLANIGRAFIA DE OSSO EM 2 PLANOS,1.0,18.68,1.0,18.68
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040094,RADIOGRAFIA DE MAO,49.0,308.7,49.0,308.7
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204010110,RADIOGRAFIA DE MAXILAR (PA + OBLIQUA),2.0,14.4,2.0,14.4
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0211020052,MONITORIZACAO AMBULATORIAL DE PRESSAO ARTERIAL (M.A.P.A),25.0,251.75,25.0,251.75
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL,154.0,0.0,154.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301050058,ASSISTÊNCIA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO,268.0,0.0,268.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL,492.0,0.0,492.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0307010023,,66.0,0.0,66.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060168,RADIOGRAFIA DE PERNA,8.0,71.52,8.0,71.52
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040108,RADIOGRAFIA DE MAO E PUNHO (P/ DETERMINACAO DE IDADE OSSEA),2.0,12.0,2.0,12.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0301050058,ASSISTÊNCIA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO,668.0,0.0,668.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL,516.0,0.0,516.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0307030040,PROFILAXIA / REMOÇÃO DA PLACA BACTERIANA,69.0,0.0,69.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,14.0,531.3000000000001,14.0,531.3000000000001
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205020046,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,40.0,1517.9999999999998,40.0,1517.9999999999998
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0201020041,COLETA DE MATERIAL PARA EXAME LABORATORIAL,53.0,0.0,53.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0101010010,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA,46.0,0.0,46.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0301060045,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM OBSERVAÇÃO ATÉ 8 HORAS,417.0,0.0,417.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204020069,RADIOGRAFIA DE COLUNA LOMBO-SACRA,1.0,10.96,1.0,10.96
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040086,RADIOGRAFIA DE DEDOS DA MAO,2.0,11.24,2.0,11.24
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0414020383,TRATAMENTO DE ALVEOLITE,1.0,0.0,1.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0214010104,,1.0,0.0,1.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0101010010,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA,26.0,0.0,26.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0301010030,CONSULTA DE PROFISSIONAIS DE NÍVEL SUPERIOR NA ATENÇÃO PRIMÁRIA (EXCETO MÉDICO),211.0,0.0,211.0,0.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205020062,ULTRASSONOGRAFIA DE ARTICULACAO,93.0,2250.6,93.0,2250.6
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020186,ULTRASSONOGRAFIA TRANSVAGINAL,264.0,6388.8,264.0,6388.8
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020062,ULTRASSONOGRAFIA DE ARTICULACAO,19.0,459.8,19.0,459.8
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205020186,ULTRASSONOGRAFIA TRANSVAGINAL,11.0,266.2,11.0,266.2
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0301060053,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM REMOÇÃO,9.0,0.0,9.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204020042,RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO),23.0,188.37,23.0,188.37
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204050065,HISTEROSSALPINGOGRAFIA,1.0,45.34,1.0,45.34
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204030145,RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA),1.0,12.02,1.0,12.02
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0301010064,CONSULTA MEDICA EM ATENÇÃO PRIMÁRIA,1566.0,0.0,1566.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301010064,CONSULTA MEDICA EM ATENÇÃO PRIMÁRIA,2328.0,0.0,2328.0,0.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205020054,ULTRASSONOGRAFIA DE APARELHO URINÁRIO,48.0,1161.6,48.0,1161.6
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301040028,,3.0,0.0,3.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020054,ULTRASSONOGRAFIA DE APARELHO URINÁRIO,9.0,217.8,9.0,217.8
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205020038,ULTRASSONOGRAFIA DE ABDÔMEN SUPERIOR,5.0,121.0,5.0,121.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020038,ULTRASSONOGRAFIA DE ABDÔMEN SUPERIOR,1.0,24.2,1.0,24.2
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0801010020,CONCLUSÃO DA ASSISTÊNCIA PRE-NATAL (INCENTIVO),2.0,0.0,2.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0301060096,ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,7.0,77.0,7.0,77.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0301010048,CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO),452.0,2847.6000000000004,452.0,2847.6000000000004
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301010110,CONSULTA PRÉ-NATAL,168.0,0.0,168.0,0.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0201010372,BIOPSIA DE PELE E PARTES MOLES,21.0,542.4299999999998,21.0,542.4299999999998
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0211060054,CERATOMETRIA,585.0,1971.45,585.0,1971.45
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020160,ULTRASSONOGRAFIA PELVICA (GINECOLOGICA),10.0,242.0,10.0,242.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0301010110,CONSULTA PRÉ-NATAL,179.0,0.0,179.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0801010020,CONCLUSÃO DA ASSISTÊNCIA PRE-NATAL (INCENTIVO),2.0,0.0,2.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204030072,RADIOGRAFIA DE COSTELAS (POR HEMITORAX),10.0,83.7,10.0,83.7
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0401010104,INCISAO E DRENAGEM DE ABSCESSO,1.0,11.84,1.0,11.84
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060133,RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + AXIAL),1.0,7.16,1.0,7.16
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0205010040,ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS,132.0,5227.200000000001,132.0,5227.200000000001
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0401010040,ELETROCOAGULACAO DE LESAO CUTANEA,19.0,224.96,19.0,224.96
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0204030188,MAMOGRAFIA BILATERAL PARA RASTREAMENTO,41.0,1845.0,41.0,1845.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060150,RADIOGRAFIA DE PE / DEDOS DO PE,7.0,47.46,7.0,47.46
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040051,RADIOGRAFIA DE BRACO,5.0,38.85,5.0,38.85
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0301100152,RETIRADA DE PONTOS DE CIRURGIAS (POR PACIENTE),2.0,0.0,2.0,0.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205010032,ECOCARDIOGRAFIA TRANSTORACICA,179.0,7149.260000000002,179.0,7149.260000000002
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0307030059,RASPAGEM ALISAMENTO E POLIMENTO SUPRAGENGIVAIS (POR SEXTANTE),96.0,0.0,96.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040124,RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA),2.0,13.82,2.0,13.82
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0205020097,ULTRASSONOGRAFIA MAMARIA BILATERAL,32.0,774.4,32.0,774.4
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205020127,ULTRASSONOGRAFIA DE TIREOIDE,72.0,1742.4,72.0,1742.4
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020127,ULTRASSONOGRAFIA DE TIREOIDE,7.0,169.39999999999998,7.0,169.39999999999998
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0401010023,,42.0,0.0,42.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204010063,RADIOGRAFIA DE CAVUM (LATERAL + HIRTZ),8.0,55.04,8.0,55.04
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0301060100,ATENDIMENTO ORTOPÉDICO COM IMOBILIZAÇÃO PROVISÓRIA,93.0,1209.0,93.0,1209.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040124,RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA),45.0,310.95,45.0,310.95
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0307010015,CAPEAMENTO PULPAR,1.0,0.0,1.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0214010058,"TESTE RÁPIDO PARA DETECÇÃO DE ANTICORPOS ANTI-HIV PARAPOPULAÇÃO GERAL (EXCETO GESTANTE, PARCEIRO OU PARCERIA)",1.0,1.0,1.0,1.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0211060020,BIOMICROSCOPIA DE FUNDO DE OLHO,742.0,9156.28,742.0,9156.28
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0307020029,CURATIVO DE DEMORA C/ OU S/ PREPARO BIOMECANICO,1.0,0.0,1.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0801010012,ADESÃO A ASSISTÊNCIA PRE-NATAL - INCENTIVO PHPN (COMPONENTE I),3.0,0.0,3.0,0.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0301100039,AFERIÇÃO DE PRESSÃO ARTERIAL,822.0,0.0,822.0,0.0
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0205010040,ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS,272.0,10771.2,272.0,10771.2
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0801010012,ADESÃO A ASSISTÊNCIA PRE-NATAL - INCENTIVO PHPN (COMPONENTE I),8.0,0.0,8.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301010153,PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA,76.0,0.0,76.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205010040,ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS,57.0,2257.2,57.0,2257.2
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204030170,RADIOGRAFIA DE TORAX (PA),16.0,110.08,16.0,110.08
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060117,RADIOGRAFIA DE COXA,2.0,17.88,2.0,17.88
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0211020036,ELETROCARDIOGRAMA,4.0,20.6,4.0,20.6
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204020085,RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA,1.0,16.88,1.0,16.88
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301100152,RETIRADA DE PONTOS DE CIRURGIAS (POR PACIENTE),44.0,0.0,44.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0214010082,,5.0,0.0,5.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0301060053,ATENDIMENTO DE URGÊNCIA EM ATENÇÃO PRIMÁRIA COM REMOÇÃO,3.0,0.0,3.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0801010020,CONCLUSÃO DA ASSISTÊNCIA PRE-NATAL (INCENTIVO),2.0,0.0,2.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204010144,RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ),1.0,7.32,1.0,7.32
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060060,RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL,10.0,77.7,10.0,77.7
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040035,RADIOGRAFIA DE ARTICULACAO ESCAPULO-UMERAL,10.0,74.0,10.0,74.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204020107,RADIOGRAFIA DE COLUNA TORACO-LOMBAR,5.0,48.65,5.0,48.65
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204050154,RADIOGRAFIA DE INTESTINO DELGADO (TRANSITO),1.0,47.59,1.0,47.59
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020097,ULTRASSONOGRAFIA MAMARIA BILATERAL,94.0,2274.7999999999997,94.0,2274.7999999999997
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0205020127,ULTRASSONOGRAFIA DE TIREOIDE,35.0,847.0000000000001,35.0,847.0000000000001
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0211020036,ELETROCARDIOGRAMA,213.0,1096.95,213.0,1096.95
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0401010090,FULGURACAO / CAUTERIZACAO QUIMICA DE LESOES CUTANEAS,13.0,153.92000000000002,13.0,153.92000000000002
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0401010023,,59.0,0.0,59.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060095,RADIOGRAFIA DE BACIA,20.0,155.4,20.0,155.4
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0307030024,RASPAGEM ALISAMENTO SUBGENGIVAIS (POR SEXTANTE),209.0,0.0,209.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020151,ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO,1.0,39.6,1.0,39.6
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040116,RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES),19.0,151.61999999999998,19.0,151.61999999999998
6200389,AMA ESPECIALIDADES JARDIM SAO LUIZ,POLICLINICA,Jardim Iracema,2018,1,0301100039,AFERIÇÃO DE PRESSÃO ARTERIAL,341.0,0.0,341.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301100039,AFERIÇÃO DE PRESSÃO ARTERIAL,297.0,0.0,297.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301100020,,96.0,0.0,96.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0101020074,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO),114.0,0.0,114.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0414020120,EXODONTIA DE DENTE DECÍDUO,15.0,0.0,15.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0301100039,AFERIÇÃO DE PRESSÃO ARTERIAL,249.0,0.0,249.0,0.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0301100020,,107.0,0.0,107.0,0.0
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204020093,RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL),28.0,256.48,28.0,256.48
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204040060,RADIOGRAFIA DE CLAVICULA,4.0,29.6,4.0,29.6
6133525,AMA_12H JARDIM SAO LUIZ,PRONTO ATENDIMENTO,Jardim Casablanca,2018,1,0204060109,RADIOGRAFIA DE CALCANEO,8.0,52.0,8.0,52.0
3661741,UBS NOVO CAMINHO,CENTRO DE SAUDE/UNIDADE BASICA,Jardim São Luís,2018,1,0301100152,RETIRADA DE PONTOS DE CIRURGIAS (POR PACIENTE),10.0,0.0,10.0,0.0
2091658,HOSPITAL DIA - M BOI MIRIM I JARDIM IBIRAPUERA,HOSPITAL/DIA - ISOLADO,Jardim Santa Josefina,2018,1,0301010072,CONSULTA MEDICA EM ATENÇÃO ESPECIALIZADA,5179.0,51790.0,5179.0,51790.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0301010030,CONSULTA DE PROFISSIONAIS DE NÍVEL SUPERIOR NA ATENÇÃO PRIMÁRIA (EXCETO MÉDICO),851.0,0.0,851.0,0.0
4049810,UBS VILA DAS BELEZAS ALBERTO AMBROSIO,CENTRO DE SAUDE/UNIDADE BASICA,Vila das Belezas,2018,1,0205020100,ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL,1.0,24.2,1.0,24.2
